Vivado Simulator 2019.1
Time resolution is 1 ps
S=0, D0=000000, D1=000000, DO=000000
S=0, D0=010101, D1=000000, DO=010101
S=0, D0=010101, D1=010101, DO=010101
S=0, D0=111111, D1=000000, DO=111111
S=0, D0=101010, D1=111111, DO=101010
S=1, D0=101010, D1=111111, DO=111111
S=1, D0=010101, D1=111111, DO=111111
S=1, D0=010101, D1=010101, DO=010101
S=1, D0=111111, D1=000000, DO=000000
S=1, D0=101010, D1=111111, DO=111111
